atom_i,atom_j,V_ij,V_ij_rate,V_i_only,V_j_only,interpretation_bound
score_m_bridge,bridge_dist,1,0.00478469,0,1,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,dist_h,0,0,1,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,log_h_ratio,0,0,1,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,resid_mean,1,0.00478469,0,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,dir_cos,1,0.00478469,0,38,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,speed_mismatch,1,0.00478469,0,56,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
score_m_bridge,gap,1,0.00478469,0,8,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,dist_h,1,0.00478469,1,1,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,log_h_ratio,0,0,2,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,resid_mean,2,0.00956938,0,1,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,dir_cos,1,0.00478469,1,38,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,speed_mismatch,2,0.00956938,0,55,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
bridge_dist,gap,1,0.00478469,1,8,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dist_h,log_h_ratio,0,0,2,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dist_h,resid_mean,1,0.00478469,1,2,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dist_h,dir_cos,1,0.00478469,1,38,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dist_h,speed_mismatch,2,0.00956938,0,55,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dist_h,gap,0,0,2,9,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
log_h_ratio,resid_mean,0,0,2,3,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
log_h_ratio,dir_cos,0,0,2,39,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
log_h_ratio,speed_mismatch,1,0.00478469,1,56,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
log_h_ratio,gap,0,0,2,9,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
resid_mean,dir_cos,2,0.00956938,1,37,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
resid_mean,speed_mismatch,3,0.0143541,0,54,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
resid_mean,gap,1,0.00478469,2,8,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dir_cos,speed_mismatch,10,0.0478469,29,47,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
dir_cos,gap,3,0.0143541,36,6,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
speed_mismatch,gap,2,0.00956938,55,7,shared violations do not prove interaction; use only for coupled role-reversal / redundancy / conditioning candidates — not cell-risk estimation
