event_key,seq,gap,gt_match,offline_bridge_dist,ca_bdist,offline_h_ref,ca_h_ref,ca_la,true_gap,offline_fwd_r,offline_bwd_r,ca_fwd_r,ca_bwd_r,offline_dist_h,ca_dist_h,gap_bin,offline_h_ref_bin,ca_h_ref_bin,offline_bridge_bin,ca_bdist_bin,regime,regime_count,n_su_total,n_sa,gap_pool_median
MOT17-02-SDP|71|86|441|467,MOT17-02-SDP,26,0,0.3385902906,0.4798828364,89.47,80.6760558265,29,26,0.6430402764,0.0580220042,1.0482760256,0.0927687024,0.3491514509,0.3359544762,11-26,q25-q50,q25-q50,<=q25,<=q25,gap=11-26|seq=MOT17-02-SDP|gt=0,1,84,2456,13
MOT17-05-SDP|214|220|18|33,MOT17-05-SDP,15,0,0.3064258477,0.8453870953,75.72,75.3304387524,18,15,0.3061621927,0.9146870212,0.136293856,1.298476469,1.1133084821,1.1211549047,11-26,<=q25,<=q25,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|214|221|18|34,MOT17-05-SDP,16,1,0.3615737557,0.71130861,76.54,75.9109637524,19,16,0.0379207403,0.7504384301,0.1771098191,1.0835571994,0.8730627071,0.8836706919,11-26,<=q25,<=q25,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=1,4,84,2456,13
MOT17-05-SDP|214|222|18|34,MOT17-05-SDP,16,0,0.3510915083,0.7738581416,79.935,79.4866712524,19,16,0.201802724,0.8302114459,0.075604778,1.2074541617,1.0149087213,1.036407324,11-26,<=q25,q25-q50,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|215|220|19|33,MOT17-05-SDP,14,0,0.1691614268,1.0038678644,75.285,73.1742726239,17,14,0.7800749476,0.4507903002,0.6577094821,0.853078757,1.4532533189,1.4948059749,11-26,<=q25,<=q25,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|215|221|19|34,MOT17-05-SDP,15,0,0.0915677405,0.7720181692,76.105,73.7547976239,18,15,0.5034842293,0.3259758985,0.3922257889,0.6660489048,1.2081457613,1.2463180068,11-26,<=q25,<=q25,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|215|222|19|34,MOT17-05-SDP,15,0,0.2097389629,0.9092524429,79.5,77.3305051239,18,15,0.6371210116,0.4477376336,0.5000670298,0.804511784,1.3315847084,1.3779041976,11-26,<=q25,<=q25,<=q25,<=q25,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|218|224|50|72,MOT17-05-SDP,22,1,0.3428959996,3.6133141908,51.235,47.5970539701,25,22,0.7220477503,0.4160947144,3.6317686003,3.5948597814,1.0781962894,1.1661467928,11-26,<=q25,<=q25,<=q25,q50-q75,gap=11-26|seq=MOT17-05-SDP|gt=1,4,84,2456,13
MOT17-05-SDP|219|264|292|310,MOT17-05-SDP,18,1,0.3588566431,1.5572901029,121.95,148.0300592002,21,18,1.3322939341,2.0185871098,1.3996758763,1.8038267522,1.0181900603,0.8389797378,11-26,q50-q75,q50-q75,<=q25,q25-q50,gap=11-26|seq=MOT17-05-SDP|gt=1,4,84,2456,13
MOT17-05-SDP|219|265|292|311,MOT17-05-SDP,19,0,0.3541391898,1.7093807041,246.41,278.1361292002,22,19,2.3515888518,1.9791786121,2.1845892052,1.9365089594,1.1998467764,0.9385648488,11-26,>q75,>q75,<=q25,q25-q50,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
MOT17-05-SDP|243|251|269|284,MOT17-05-SDP,15,0,0.2599259672,1.5417995943,234.605,190.7179527754,18,15,1.1932550247,0.8563162653,1.9843460164,1.0992531721,0.5403168737,0.6045167214,11-26,>q75,q50-q75,<=q25,q25-q50,gap=11-26|seq=MOT17-05-SDP|gt=0,11,84,2456,13
