quantity,slice,n,n_gt,n_fp,spearman_rho,spearman_ci_low,spearman_ci_high,q85_offline,q85_consumer_a,q85_abs_error,predicate_agreement,offline_safe_online_unsafe_count,offline_safe_online_unsafe_rate
bdist,gap_1_10,988,51,937,0.97775822,0.9697068089,0.9838617988,6.408686832,6.6606459795,0.2519591475,0.9493927126,27,0.0273279352
bdist,gap_11_26,1468,61,1407,0.9550711093,0.9417687586,0.9650758256,6.8524916195,7.104467954,0.2519763345,0.9495912807,57,0.0388283379
bdist,gap_1_10_GT,51,51,0,0.6447963801,0.4201126371,0.7806825346,0.4042298714,0.8159676225,0.4117377511,0.8039215686,8,0.1568627451
bdist,gap_11_26_GT,61,61,0,0.7429402433,0.6112572823,0.8454731289,0.9886824919,1.4404899839,0.451807492,0.7213114754,16,0.262295082
dist_h,gap_1_10,988,51,937,0.9921730622,0.9890694751,0.9942162019,6.2840308799,6.4277149288,0.1436840489,,,
dist_h,gap_11_26,1468,61,1407,0.9935034042,0.9915716316,0.9947459659,6.3669451055,6.6009209857,0.2339758802,,,
dist_h,gap_1_10_GT,51,51,0,0.9723076923,0.9176362725,0.9949013363,0.6075707282,0.5772934261,0.0302773021,,,
dist_h,gap_11_26_GT,61,61,0,0.9911158117,0.9774448919,0.9946588472,1.0181900603,0.900573674,0.1176163863,,,
fwd_r,gap_1_10,988,51,937,0.9631410985,0.949077448,0.9747265525,6.5281068289,6.7853674922,0.2572606633,,,
fwd_r,gap_11_26,1468,61,1407,0.9366079798,0.9164528899,0.9549599709,7.16432092,7.7685645434,0.6042436234,,,
fwd_r,gap_1_10_GT,51,51,0,0.6184615385,0.3907403595,0.7855256642,0.4259378683,1.033586369,0.6076485006,,,
fwd_r,gap_11_26_GT,61,61,0,0.7948704389,0.6176834783,0.8958429314,1.1027498123,1.4693931951,0.3666433828,,,
bwd_r,gap_1_10,988,51,937,0.9823848733,0.9762601551,0.9870061831,6.3434652864,6.4913030927,0.1478378063,,,
bwd_r,gap_11_26,1468,61,1407,0.976758907,0.9702423452,0.9825930985,6.5384252292,6.7905011775,0.2520759483,,,
bwd_r,gap_1_10_GT,51,51,0,0.6813574661,0.4394832496,0.8267274108,0.5259225493,0.6322982578,0.1063757085,,,
bwd_r,gap_11_26_GT,61,61,0,0.9142781597,0.8273637914,0.9646010142,1.3899093201,1.73812763,0.3482183099,,,
