quantity,slice,n,n_gt,n_fp,spearman_rho,spearman_ci_low,spearman_ci_high,q85_offline,q85_recon,q85_abs_error,predicate_agreement,offline_safe_recon_unsafe_count,offline_safe_recon_unsafe_rate
bdist,seq::MOT17-02-SDP,340,5,335,0.9842936765,0.969108368,0.9924565868,6.1290793149,6.169724602,0.0406452871,0.9794117647,1,0.0029411765
bdist,seq::MOT17-04-SDP,71,6,65,0.9948356808,0.9850701913,0.9983785509,8.850980376,8.5938007948,0.2571795812,1,0,0
bdist,seq::MOT17-05-SDP,622,28,594,0.895338881,0.8598974558,0.9247944793,2.37473663,2.6284681116,0.2537314817,0.9276527331,26,0.0418006431
bdist,seq::MOT17-09-SDP,51,4,47,0.949321267,0.8467886977,0.9857596433,3.6567878537,3.3757587369,0.2810291167,0.9215686275,3,0.0588235294
bdist,seq::MOT17-10-SDP,692,48,644,0.9700994766,0.9563017365,0.9810090878,6.3773032204,6.6644549437,0.2871517232,0.9436416185,32,0.0462427746
bdist,seq::MOT17-11-SDP,185,7,178,0.9724688223,0.9480448234,0.9859945139,4.6234438269,4.7814396197,0.1579957927,0.9621621622,4,0.0216216216
bdist,seq::MOT17-13-SDP,495,14,481,0.9735189824,0.9599621312,0.9825211904,13.2795625663,14.3918311192,1.1122685529,0.9555555556,18,0.0363636364
dist_h,seq::MOT17-02-SDP,340,5,335,0.9925029883,0.9880935754,0.9955136156,6.0940711196,6.1115694582,0.0174983386,,,
dist_h,seq::MOT17-04-SDP,71,6,65,0.9948692153,0.9845975567,0.9988310933,8.8502720742,8.5015565393,0.348715535,,,
dist_h,seq::MOT17-05-SDP,622,28,594,0.9693521841,0.9613858447,0.9754334671,2.0329460325,2.0668023055,0.033856273,,,
dist_h,seq::MOT17-09-SDP,51,4,47,0.9940271493,0.9774976584,0.9974061853,3.3597397635,3.318031019,0.0417087446,,,
dist_h,seq::MOT17-10-SDP,692,48,644,0.995601503,0.9935629789,0.9968739212,6.0738162884,6.3925257112,0.3187094228,,,
dist_h,seq::MOT17-11-SDP,185,7,178,0.9786361396,0.9539906028,0.9923937019,4.6406923744,4.7253830535,0.0846906791,,,
dist_h,seq::MOT17-13-SDP,495,14,481,0.9974927873,0.99607821,0.9979617992,12.5864904746,13.3774647429,0.7909742684,,,
fwd_r,seq::MOT17-02-SDP,340,5,335,0.9771810564,0.9495315584,0.9929672616,6.2004145213,6.2215580659,0.0211435446,,,
fwd_r,seq::MOT17-04-SDP,71,6,65,0.9932930919,0.9812851598,0.9972657803,8.7453333425,8.545568101,0.1997652415,,,
fwd_r,seq::MOT17-05-SDP,622,28,594,0.9194486152,0.8787611326,0.9517238535,2.8101949262,3.3759030537,0.5657081275,,,
fwd_r,seq::MOT17-09-SDP,51,4,47,0.9257918552,0.7425584174,0.9866509905,3.5891612422,3.5140254124,0.0751358299,,,
fwd_r,seq::MOT17-10-SDP,692,48,644,0.9424563959,0.9137733486,0.966602436,6.7855934273,7.2311183738,0.4455249465,,,
fwd_r,seq::MOT17-11-SDP,185,7,178,0.9623460066,0.9282959164,0.9859591088,4.6432332734,5.0010644357,0.3578311623,,,
fwd_r,seq::MOT17-13-SDP,495,14,481,0.9575853547,0.9346549625,0.9727664745,13.6408074616,14.7017730867,1.0609656251,,,
bwd_r,seq::MOT17-02-SDP,340,5,335,0.9892162715,0.9805708867,0.9944983356,6.1572202529,6.2080576537,0.0508374008,,,
bwd_r,seq::MOT17-04-SDP,71,6,65,0.9948021462,0.9859034714,0.9987947811,8.9911835975,8.7095667525,0.281616845,,,
bwd_r,seq::MOT17-05-SDP,622,28,594,0.9174565376,0.8894613494,0.9371955331,2.1988080004,2.4307009441,0.2318929437,,,
bwd_r,seq::MOT17-09-SDP,51,4,47,0.9836199095,0.9456397782,0.9951786211,3.701295796,3.7371831007,0.0358873046,,,
bwd_r,seq::MOT17-10-SDP,692,48,644,0.9845268958,0.9773816327,0.9893643242,6.1329516271,6.3969126273,0.2639610002,,,
bwd_r,seq::MOT17-11-SDP,185,7,178,0.9658068307,0.939111623,0.9818109799,4.5242936412,4.4728573961,0.0514362451,,,
bwd_r,seq::MOT17-13-SDP,495,14,481,0.9868912779,0.9808189965,0.9909006836,13.0193246987,13.8351967404,0.8158720418,,,
