quantity,slice,n,n_gt,n_fp,spearman_rho,spearman_ci_low,spearman_ci_high,q85_offline,q85_consumer_a,q85_abs_error,predicate_agreement,offline_safe_online_unsafe_count,offline_safe_online_unsafe_rate
bdist,S_A_overall,2456,112,2344,0.9645023402,0.9545245208,0.9718693372,6.7032430334,6.9163106101,0.2130675767,0.9495114007,84,0.0342019544
bdist,S_A_GT,112,112,0,0.714422387,0.5898818229,0.794226887,0.6855916288,1.1547104284,0.4691187996,0.7589285714,24,0.2142857143
bdist,S_A_FP,2344,0,2344,0.9661178364,0.9568376077,0.9737463804,6.8568877583,7.1734985887,0.3166108303,0.9586177474,60,0.0255972696
dist_h,S_A_overall,2456,112,2344,0.9930072555,0.9913725576,0.9944691248,6.3526242412,6.5824526938,0.2298284527,,,
dist_h,S_A_GT,112,112,0,0.9812843817,0.9587826692,0.9934622844,0.8681121209,0.8567055753,0.0114065456,,,
dist_h,S_A_FP,2344,0,2344,0.9929320781,0.9913141671,0.9944037113,6.5506302649,6.7023361083,0.1517058434,,,
fwd_r,S_A_overall,2456,112,2344,0.9488874067,0.932228024,0.9619658205,6.9278506125,7.4559515298,0.5281009173,,,
fwd_r,S_A_GT,112,112,0,0.7479071992,0.5990535194,0.8418002337,0.8658572972,1.4292495954,0.5633922982,,,
fwd_r,S_A_FP,2344,0,2344,0.9497432831,0.9360222521,0.9628280978,7.1230260078,7.6112618052,0.4882357974,,,
bwd_r,S_A_overall,2456,112,2344,0.9790965647,0.9738877893,0.9832383978,6.4533844551,6.6810754067,0.2276909516,,,
bwd_r,S_A_GT,112,112,0,0.8500529607,0.7678439109,0.9043381634,0.949753061,1.3304776587,0.3807245977,,,
bwd_r,S_A_FP,2344,0,2344,0.9810036829,0.9766577953,0.9848166191,6.685269932,6.8227280145,0.1374580826,,,
