slice,n,offline_safe_online_safe,offline_safe_online_unsafe,offline_unsafe_online_safe,offline_unsafe_online_unsafe,predicate_agreement,offline_safe_online_unsafe_count,offline_safe_online_unsafe_rate
S_A_overall,2456,118,84,40,2214,0.9495114007,84,0.0342019544
S_A_GT,112,55,24,3,30,0.7589285714,24,0.2142857143
S_A_FP,2344,63,60,37,2184,0.9586177474,60,0.0255972696
gap_1_10,988,69,27,23,869,0.9493927126,27,0.0273279352
gap_11_26,1468,49,57,17,1345,0.9495912807,57,0.0388283379
gap_1_10_GT,51,34,8,2,7,0.8039215686,8,0.1568627451
gap_11_26_GT,61,21,16,1,23,0.7213114754,16,0.262295082
seq::MOT17-02-SDP,340,10,1,6,323,0.9794117647,1,0.0029411765
seq::MOT17-04-SDP,71,8,0,0,63,1,0,0
seq::MOT17-05-SDP,622,38,26,19,539,0.9276527331,26,0.0418006431
seq::MOT17-09-SDP,51,10,3,1,37,0.9215686275,3,0.0588235294
seq::MOT17-10-SDP,692,30,32,7,623,0.9436416185,32,0.0462427746
seq::MOT17-11-SDP,185,5,4,3,173,0.9621621622,4,0.0216216216
seq::MOT17-13-SDP,495,17,18,4,456,0.9555555556,18,0.0363636364
