quantity,slice,quantile,offline_quantile,consumer_a_quantile,absolute_error,relative_error,headline
bdist,S_A_overall,q50,2.1450679059,2.2623654081,0.1172975022,0.0546824191,0
bdist,S_A_overall,q70,4.0561386884,4.2332879798,0.1771492914,0.0436743674,0
bdist,S_A_overall,q85,6.7032430334,6.9163106101,0.2130675767,0.0317857454,1
bdist,S_A_overall,q90,8.2594708573,8.7347733341,0.4753024768,0.0575463592,0
bdist,S_A_overall,q95,11.838808925,13.0459814476,1.2071725227,0.1019673964,0
bdist,S_A_GT,q50,0.2487869713,0.3702170681,0.1214300969,0.4880886497,0
bdist,S_A_GT,q70,0.3891071597,0.75961183,0.3705046703,0.9521918604,0
bdist,S_A_GT,q85,0.6855916288,1.1547104284,0.4691187996,0.6842539784,1
bdist,S_A_GT,q90,0.8861669884,1.3104606692,0.4242936808,0.478796532,0
bdist,S_A_GT,q95,1.2276850614,2.0826485478,0.8549634864,0.6964029402,0
bdist,S_A_FP,q50,2.3168958711,2.4083317614,0.0914358903,0.0394648251,0
bdist,S_A_FP,q70,4.2665266898,4.465534148,0.1990074582,0.0466439033,0
bdist,S_A_FP,q85,6.8568877583,7.1734985887,0.3166108303,0.0461741305,1
bdist,S_A_FP,q90,8.4828495515,9.0204943149,0.5376447634,0.0633802073,0
bdist,S_A_FP,q95,11.8779679173,13.1898542815,1.3118863642,0.1104470372,0
bdist,gap_1_10,q50,1.9580023013,2.0301396161,0.0721373147,0.0368423033,0
bdist,gap_1_10,q70,3.762571074,3.9177522999,0.1551812259,0.0412434006,0
bdist,gap_1_10,q85,6.408686832,6.6606459795,0.2519591475,0.0393152535,1
bdist,gap_1_10,q90,7.7649193323,8.1630744455,0.3981551132,0.0512761429,0
bdist,gap_1_10,q95,11.0333265826,11.6305831667,0.5972565841,0.0541320498,0
bdist,gap_11_26,q50,2.2791792538,2.3996064451,0.1204271913,0.052837964,0
bdist,gap_11_26,q70,4.3607578826,4.5232524392,0.1624945565,0.0372629164,0
bdist,gap_11_26,q85,6.8524916195,7.104467954,0.2519763345,0.0367714911,1
bdist,gap_11_26,q90,8.6952718271,9.4296002724,0.7343284454,0.0844514651,0
bdist,gap_11_26,q95,12.1688729588,13.4442819507,1.275408992,0.1048091303,0
dist_h,S_A_overall,q50,2.0383397302,2.0051355627,0.0332041675,0.0162898103,0
dist_h,S_A_overall,q70,3.8829838126,3.9917937287,0.1088099161,0.028022243,0
dist_h,S_A_overall,q85,6.3526242412,6.5824526938,0.2298284527,0.0361785058,1
dist_h,S_A_overall,q90,7.8663033212,8.1204193936,0.2541160724,0.0323043826,0
dist_h,S_A_overall,q95,11.0225174234,11.5750062873,0.5524888639,0.0501236553,0
dist_h,S_A_GT,q50,0.337843351,0.3418892662,0.0040459153,0.0119757138,0
dist_h,S_A_GT,q70,0.5520486663,0.5391511448,0.0128975214,0.0233630153,0
dist_h,S_A_GT,q85,0.8681121209,0.8567055753,0.0114065456,0.0131394844,1
dist_h,S_A_GT,q90,1.0632330392,1.0192629991,0.0439700401,0.0413550355,0
dist_h,S_A_GT,q95,1.273573442,1.2419902978,0.0315831441,0.0247988401,0
dist_h,S_A_FP,q50,2.2242877626,2.1813828179,0.0429049447,0.0192892958,0
dist_h,S_A_FP,q70,4.0481276657,4.1413899055,0.0932622397,0.0230383643,0
dist_h,S_A_FP,q85,6.5506302649,6.7023361083,0.1517058434,0.023158969,1
dist_h,S_A_FP,q90,8.0605379993,8.3067275234,0.246189524,0.0305425673,0
dist_h,S_A_FP,q95,11.3614951157,11.9964664892,0.6349713735,0.0558880118,0
dist_h,gap_1_10,q50,1.8872105149,1.8585815041,0.0286290108,0.0151700145,0
dist_h,gap_1_10,q70,3.6984279411,3.8167136974,0.1182857563,0.0319827122,0
dist_h,gap_1_10,q85,6.2840308799,6.4277149288,0.1436840489,0.0228649495,1
dist_h,gap_1_10,q90,7.6279174651,7.8669096078,0.2389921427,0.0313312439,0
dist_h,gap_1_10,q95,10.8555897959,11.3909528422,0.5353630463,0.0493168088,0
dist_h,gap_11_26,q50,2.1117895935,2.106746593,0.0050430005,0.0023880222,0
dist_h,gap_11_26,q70,3.9595364519,4.0941659304,0.1346294785,0.0340013232,0
dist_h,gap_11_26,q85,6.3669451055,6.6009209857,0.2339758802,0.0367485311,1
dist_h,gap_11_26,q90,8.0573573614,8.304304138,0.2469467766,0.0306486067,0
dist_h,gap_11_26,q95,11.3370545681,11.6223007097,0.2852461415,0.0251605159,0
fwd_r,S_A_overall,q50,2.3577145724,2.5924944747,0.2347799023,0.0995794423,0
fwd_r,S_A_overall,q70,4.2505743564,4.6344808333,0.3839064768,0.0903187298,0
fwd_r,S_A_overall,q85,6.9278506125,7.4559515298,0.5281009173,0.0762286814,1
fwd_r,S_A_overall,q90,8.6184867344,9.2134711543,0.5949844199,0.069035834,0
fwd_r,S_A_overall,q95,12.1506412595,13.6582961007,1.5076548412,0.1240802694,0
fwd_r,S_A_GT,q50,0.3261699382,0.459109793,0.1329398548,0.4075785019,0
fwd_r,S_A_GT,q70,0.5450777528,0.8249053211,0.2798275683,0.5133718389,0
fwd_r,S_A_GT,q85,0.8658572972,1.4292495954,0.5633922982,0.6506756945,1
fwd_r,S_A_GT,q90,1.0966767277,1.6401769218,0.543500194,0.4955883355,0
fwd_r,S_A_GT,q95,1.268042854,2.2616835333,0.9936406793,0.783601813,0
fwd_r,S_A_FP,q50,2.5364610667,2.7562647328,0.2198036661,0.0866576148,0
fwd_r,S_A_FP,q70,4.5083110037,4.8899573064,0.3816463028,0.084653943,0
fwd_r,S_A_FP,q85,7.1230260078,7.6112618052,0.4882357974,0.0685433125,1
fwd_r,S_A_FP,q90,8.7790528326,9.5261815919,0.7471287593,0.0851035725,0
fwd_r,S_A_FP,q95,12.3019684774,13.9018566165,1.599888139,0.1300513932,0
