candidate,d_pwa,d_mrr,d_top1,b3_min_excl,loo_pooled_d_pwa,loo_folds_ge0,fire_fp,fire_gt,n_good,n_bad,p3_d_pwa,p3_d_top1,d_pwa_MOT17-02-SDP,d_pwa_MOT17-04-SDP,d_pwa_MOT17-05-SDP,d_pwa_MOT17-09-SDP,d_pwa_MOT17-10-SDP,d_pwa_MOT17-11-SDP,d_pwa_MOT17-13-SDP,loo_MOT17-02-SDP,loo_MOT17-04-SDP,loo_MOT17-05-SDP,loo_MOT17-09-SDP,loo_MOT17-10-SDP,loo_MOT17-11-SDP,loo_MOT17-13-SDP,B1,B2,B3,B4,B5,B6a,B6b,PASS
c_dist_h,0.0006261325216169979,0.0,0.0,0.0002671009367248651,0.0004393273746402066,7,0.09536990437845999,0.0,11.0,0.0,0.0001417233560090711,0.0,0.0017391304347826098,0.0,0.0,0.0,0.0006000093506138274,0.0,0.0,0.001304347826086958,0.0,0.0,0.0,0.0003600684129984704,0.0,0.0,False,False,False,True,False,True,True,False
c_log_h_ratio,0.0010972341457394417,0.005658596146401074,0.004878048780487809,0.0004929967278394803,0.0017346971862380596,7,0.15223955712128837,0.012345679012345678,156.0,55.0,0.013909288433378955,0.023809523809523808,0.001312082993886996,0.0,0.004363892686261108,0.0,0.0002852794814765259,0.0,0.0,0.001312082993886996,0.0,0.004363892686261108,0.0,0.0021791914133927094,0.0,0.0,False,False,False,True,False,True,True,False
c_resid_mean,0.0,0.0,0.0,0.0,0.0,7,0.0961248112732763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False,False
c_speed_mismatch,-0.017283961772848737,-0.004933239848404214,-0.004878048780487809,-0.022719180858059414,-0.021904822371698628,3,0.0976346250629089,0.08641975308641975,32.0,216.0,-0.008574313012727996,0.011904761904761904,-0.00043478260869565186,0.0,-0.002938988095238095,0.0,-0.0411026890531963,0.0,-0.03478469819300269,-0.00043478260869565186,0.0,-0.002938988095238095,0.0,-0.040137290993418596,0.0,-0.09442522106881969,False,False,False,False,False,True,False,False
c_gap,-0.006500375788321179,0.00024190443702631903,0.0,-0.013336992563774389,-0.006391816651520708,6,0.1696024157020634,0.030864197530864196,96.0,141.0,-0.01377215013185656,0.0,-0.036276619773466336,0.0,0.0,0.0,0.006974694957499639,0.0,0.0,-0.036276619773466336,0.0,0.0,0.0,0.007297225726254663,0.0,0.0,False,False,False,True,False,True,False,False
c_dir_cos,-0.03538773195140692,-0.02599031641545635,-0.024390243902439046,-0.04262820664893112,-0.03603408336596146,1,0.12808253648716658,0.043209876543209874,70.0,190.0,-0.019568930376370895,0.011904761904761904,-0.014906954292752754,-0.08333333333333333,-0.0695625447842267,0.0,-0.02111665138817083,-0.07692307692307693,-0.04859335038363172,-0.01543327008222644,-0.08333333333333333,-0.07468864127545477,0.0,-0.021184059544557755,-0.07692307692307693,-0.04491687979539642,False,False,False,False,False,True,False,False
c_dist_h_AND_gap,0.00016411654799777838,0.0,0.0,7.680491551459338e-05,0.0,7,0.020130850528434826,0.0,3.0,0.0,0.0001417233560090711,0.0,0.00043478260869565186,0.0,0.0,0.0,0.0001725327812284344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,True,False
c_dist_h_AND_speed_mismatch,0.0,0.0,0.0,0.0,0.0,7,0.018621036738802214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False,False
c_gap_AND_speed_mismatch,0.0,0.0,0.0,0.0,0.0,7,0.02264720684448918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False,False
c_gap_AND_dir_cos,0.00026255656156841395,5.420054200533375e-05,0.0,0.00017747293966348753,0.00017813324222853408,7,0.019124308002013084,0.0,6.0,0.0,0.00047201336675020954,0.0,0.0005263157894736858,0.0,0.0,0.0,0.0003986710963455155,0.0,0.0,0.0,0.0,0.0,0.0,0.0005292364443021664,0.0,0.0,False,False,False,True,False,True,True,False
c_dist_h_AND_log_h_ratio,0.00016664141796697476,0.0,0.0,8.014425966740147e-05,0.00016664141796697476,7,0.013085052843482638,0.0,3.0,0.0,0.0,0.0,0.00043478260869565186,0.0,0.0,0.0,0.0001800342064992352,0.0,0.0,0.00043478260869565186,0.0,0.0,0.0,0.0001800342064992352,0.0,0.0,False,False,False,True,False,True,True,False
c_resid_mean_AND_gap,0.0,0.0,0.0,0.0,0.0,7,0.04755913437342728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False,False
