event_ordinal,partition,seq,event_key,lost_global_id,cand_global_id,lost_local_id_present,cand_local_id_present,runtime_coordinates_available,runtime_dist_h,runtime_ema_lost,runtime_ema_cand,offline_pair_status,frozen_coordinate_pair_available,classification,reason
1,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|115|116,115,116,True,True,True,0.0626420081,105.0317306519,97.9594039917,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
2,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|115|117,115,117,True,True,True,1.4614065886,105.0317306519,116.6301345825,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
3,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|115|118,115,118,True,True,True,0.8146985173,105.0317306519,96.232963562,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
4,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|12|38,12,38,True,True,True,1.1685225964,113.0575790405,111.206703186,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
5,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|12|40,12,40,True,True,True,0.9925451279,113.0575790405,102.5559234619,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
6,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|12|41,12,41,True,True,True,0.7082217336,113.0575790405,117.1602325439,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
7,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|12|44,12,44,True,True,True,0.3065908551,113.0575790405,104.6436691284,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
8,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|38,13,38,True,True,True,1.2395398617,108.0350036621,111.206703186,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
9,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|40,13,40,True,True,True,1.0392674208,108.0350036621,102.5559234619,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
10,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|41,13,41,True,True,True,0.7533182502,108.0350036621,117.1602325439,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
11,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|42,13,42,True,True,True,6.039525032,108.0350036621,63.8107070923,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
12,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|43,13,43,True,True,True,5.913336277,108.0350036621,66.1826171875,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
13,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|13|44,13,44,True,True,True,0.6079164743,108.0350036621,104.6436691284,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
14,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|40,16,40,True,True,True,1.3991653919,98.1817626953,102.5559234619,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
15,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|41,16,41,True,True,True,1.0719609261,98.1817626953,117.1602325439,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
16,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|42,16,42,True,True,True,6.7909564972,98.1817626953,63.8107070923,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
17,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|43,16,43,True,True,True,6.6457724571,98.1817626953,66.1826171875,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
18,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|44,16,44,True,True,True,0.8599031568,98.1817626953,104.6436691284,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
19,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|45,16,45,True,True,True,6.9887318611,98.1817626953,83.3240356445,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
20,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|16|46,16,46,True,True,True,4.8145260811,98.1817626953,66.9412918091,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
21,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|22|49,22,49,True,True,True,2.4088816643,101.2113189697,59.5807495117,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
22,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|70,23,70,True,True,True,1.3536599874,111.3060760498,73.353729248,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
23,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|74,23,74,True,True,True,6.1672534943,111.3060760498,75.5375976562,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
24,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|78,23,78,True,True,True,0.8859966993,111.6207046509,82.2588119507,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
