gap_bin,signal,n,gt,fp,auc_gt_low_mismatch,high_mismatch_tail_threshold,tail_n,tail_gt,tail_fp,tail_gt_rate,bin_gt_rate,tail_gt_enrichment,role_reversal_descriptive,tail_gt_by_sequence
1-10,bridge_dist,1037,53,984,0.9628010431047707,7.856282614863154,104,0,104,0.0,0.05110896817743491,0.0,False,{}
1-10,speed_mismatch,1037,53,984,0.5189062739684001,0.07281609249228642,104,5,99,0.04807692307692308,0.05110896817743491,0.9406748911465892,False,"{""MOT17-05-SDP"":2,""MOT17-10-SDP"":2,""MOT17-13-SDP"":1}"
1-10,dir_cos,1037,53,984,0.7193779720816076,1.9954504668479651,104,1,103,0.009615384615384616,0.05110896817743491,0.18813497822931785,False,"{""MOT17-10-SDP"":1}"
1-10,resid_mean,1037,53,984,0.9566651326890627,7.856430108765444,104,0,104,0.0,0.05110896817743491,0.0,False,{}
11-30,bridge_dist,1895,76,1819,0.9200760973351465,9.025568672204413,190,0,190,0.0,0.04010554089709763,0.0,False,{}
11-30,speed_mismatch,1895,76,1819,0.5675255345620787,0.07643660767227045,190,2,188,0.010526315789473684,0.04010554089709763,0.26246537396121883,False,"{""MOT17-10-SDP"":1,""MOT17-13-SDP"":1}"
11-30,dir_cos,1895,76,1819,0.7188449408292584,1.9951305941063469,190,2,188,0.010526315789473684,0.04010554089709763,0.26246537396121883,False,"{""MOT17-05-SDP"":1,""MOT17-11-SDP"":1}"
11-30,resid_mean,1895,76,1819,0.9121046844709354,9.034412728306622,190,0,190,0.0,0.04010554089709763,0.0,False,{}
31-60,bridge_dist,2549,63,2486,0.8620337381399328,10.25043101097925,255,0,255,0.0,0.02471557473519027,0.0,False,{}
31-60,speed_mismatch,2549,63,2486,0.663199632226181,0.07610195295116437,255,5,250,0.0196078431372549,0.02471557473519027,0.7933395580454404,False,"{""MOT17-05-SDP"":2,""MOT17-10-SDP"":2,""MOT17-13-SDP"":1}"
31-60,dir_cos,2549,63,2486,0.6925449182086351,1.9957694666738757,255,2,253,0.00784313725490196,0.02471557473519027,0.31733582321817616,False,"{""MOT17-09-SDP"":1,""MOT17-10-SDP"":1}"
31-60,resid_mean,2549,63,2486,0.8511984573931477,10.311364365367274,255,0,255,0.0,0.02471557473519027,0.0,False,{}
61-150,bridge_dist,6979,100,6879,0.8073804332025004,12.363625512102029,698,0,698,0.0,0.01432870038687491,0.0,False,{}
61-150,speed_mismatch,6979,100,6879,0.6358555022532345,0.08712764363446746,698,1,697,0.0014326647564469914,0.01432870038687491,0.09998567335243552,False,"{""MOT17-10-SDP"":1}"
61-150,dir_cos,6979,100,6879,0.654304404709987,1.9954794827321436,698,4,694,0.0057306590257879654,0.01432870038687491,0.3999426934097421,False,"{""MOT17-10-SDP"":4}"
61-150,resid_mean,6979,100,6879,0.7980433202500363,13.342510006782057,698,0,698,0.0,0.01432870038687491,0.0,False,{}
151-300,bridge_dist,9329,48,9281,0.7541662177207916,21.04053640287163,933,0,933,0.0,0.005145246007074713,0.0,False,{}
151-300,speed_mismatch,9329,48,9281,0.623641938727867,0.09683121522666274,933,0,933,0.0,0.005145246007074713,0.0,False,{}
151-300,dir_cos,9329,48,9281,0.6553554753438925,1.9945966084870543,933,2,931,0.0021436227224008574,0.005145246007074713,0.41662200785994996,False,"{""MOT17-02-SDP"":1,""MOT17-10-SDP"":1}"
151-300,resid_mean,9329,48,9281,0.7517351758072047,23.477558049894764,933,0,933,0.0,0.005145246007074713,0.0,False,{}
