model_id,layer,gap_bin,n_gt,dispersion_ratio,c50,c90,c95,calibration_class
M1P-GLOBAL-CV,exploratory,1-10,53,10.531566526695476,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M1P-GLOBAL-CV,exploratory,11-30,76,1.0218970546559691,0.6578947368421053,0.881578947368421,0.9078947368421053,approximately-calibrated
M1P-GLOBAL-CV,exploratory,31-60,63,0.5759403526353375,0.7777777777777778,0.9523809523809523,0.9523809523809523,over-dispersed
M1P-GLOBAL-CV,exploratory,61-150,100,0.1531009001343151,0.96,1.0,1.0,over-dispersed
M1P-GLOBAL-CV,exploratory,151-300,48,0.06314589086891932,1.0,1.0,1.0,over-dispersed
M1P-GLOBAL-CV,primary,1-10,53,10.531566526695476,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M1P-GLOBAL-CV,primary,11-26,64,1.1558919545196984,0.609375,0.859375,0.890625,approximately-calibrated
M2P-GLOBAL-OU-H270,exploratory,1-10,53,10.44197013664489,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H270,exploratory,11-30,76,1.024506443847246,0.6578947368421053,0.881578947368421,0.9078947368421053,approximately-calibrated
M2P-GLOBAL-OU-H270,exploratory,31-60,63,0.5883095729516763,0.7777777777777778,0.9523809523809523,0.9523809523809523,over-dispersed
M2P-GLOBAL-OU-H270,exploratory,61-150,100,0.16227539494322443,0.95,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H270,exploratory,151-300,48,0.07216952646354448,1.0,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H270,primary,1-10,53,10.44197013664489,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H270,primary,11-26,64,1.1583153879525865,0.609375,0.859375,0.890625,approximately-calibrated
M2P-GLOBAL-OU-H90,exploratory,1-10,53,10.2639411961714,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H90,exploratory,11-30,76,1.0296012210765517,0.6710526315789473,0.881578947368421,0.9078947368421053,approximately-calibrated
M2P-GLOBAL-OU-H90,exploratory,31-60,63,0.6128621706795085,0.7777777777777778,0.9523809523809523,0.9523809523809523,over-dispersed
M2P-GLOBAL-OU-H90,exploratory,61-150,100,0.1810956329625688,0.92,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H90,exploratory,151-300,48,0.09123925922405396,1.0,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H90,primary,1-10,53,10.2639411961714,0.37735849056603776,0.6037735849056604,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H90,primary,11-26,64,1.1629908277959369,0.625,0.859375,0.890625,approximately-calibrated
M2P-GLOBAL-OU-H30,exploratory,1-10,53,9.750010548588392,0.37735849056603776,0.6226415094339622,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H30,exploratory,11-30,76,1.0444448912541666,0.6710526315789473,0.868421052631579,0.9078947368421053,approximately-calibrated
M2P-GLOBAL-OU-H30,exploratory,31-60,63,0.6847955192960525,0.746031746031746,0.9047619047619048,0.9523809523809523,approximately-calibrated
M2P-GLOBAL-OU-H30,exploratory,61-150,100,0.23946627886455826,0.88,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H30,exploratory,151-300,48,0.15114000486217113,0.9583333333333334,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H30,primary,1-10,53,9.750010548588392,0.37735849056603776,0.6226415094339622,0.6792452830188679,under-dispersed
M2P-GLOBAL-OU-H30,primary,11-26,64,1.1763444371143539,0.625,0.859375,0.890625,approximately-calibrated
