model_id,gap_bin,n,gt,score,auc_gt_low_score,q90_threshold,tail_n,tail_gt,tail_gt_enrichment,role_reversal,tail_gt_by_sequence
M1P-GLOBAL-CV,1-10,1037,53,nll_motion,0.9232627703635526,1944.9257060553402,104,0,0.0,False,{}
M1P-GLOBAL-CV,1-10,1037,53,q_motion,0.9169542874674029,3898.224371598027,104,0,0.0,False,{}
M1P-GLOBAL-CV,11-30,1895,76,nll_motion,0.8864760857614074,70.84309017780184,190,0,0.0,False,{}
M1P-GLOBAL-CV,11-30,1895,76,q_motion,0.8648548942449582,140.2281483158556,190,0,0.0,False,{}
M1P-GLOBAL-CV,31-60,2549,63,nll_motion,0.824394386341289,14.181786614667882,255,0,0.0,False,{}
M1P-GLOBAL-CV,31-60,2549,63,q_motion,0.7956237469511805,24.271954874940775,255,0,0.0,False,{}
M1P-GLOBAL-CV,61-150,6979,100,nll_motion,0.7832621020497166,6.248228651071725,698,0,0.0,False,{}
M1P-GLOBAL-CV,61-150,6979,100,q_motion,0.7496700101758976,5.122997184080468,698,0,0.0,False,{}
M1P-GLOBAL-CV,151-300,9329,48,nll_motion,0.7158509320116366,6.293594311418701,933,3,0.624933011789925,False,{'MOT17-02-SDP': 3}
M1P-GLOBAL-CV,151-300,9329,48,q_motion,0.6544800308874762,1.1626274353430488,933,0,0.0,False,{}
M2P-GLOBAL-OU-H270,1-10,1037,53,nll_motion,0.9232819450836017,1922.8859755680403,104,0,0.0,False,{}
M2P-GLOBAL-OU-H270,1-10,1037,53,q_motion,0.9170118116275502,3854.1276373561213,104,0,0.0,False,{}
M2P-GLOBAL-OU-H270,11-30,1895,76,nll_motion,0.8866713926101675,70.96225474180129,190,0,0.0,False,{}
M2P-GLOBAL-OU-H270,11-30,1895,76,q_motion,0.8653684789213275,140.44696856635954,190,0,0.0,False,{}
M2P-GLOBAL-OU-H270,31-60,2549,63,nll_motion,0.825090347214241,14.517910203216294,255,0,0.0,False,{}
M2P-GLOBAL-OU-H270,31-60,2549,63,q_motion,0.7965751063096196,24.999029308044364,255,0,0.0,False,{}
M2P-GLOBAL-OU-H270,61-150,6979,100,nll_motion,0.7886829481029219,6.327674879406725,698,0,0.0,False,{}
M2P-GLOBAL-OU-H270,61-150,6979,100,q_motion,0.752120947812182,5.444084987793417,698,0,0.0,False,{}
M2P-GLOBAL-OU-H270,151-300,9329,48,nll_motion,0.7225222677154042,6.145619659902479,933,1,0.20831100392997498,False,{'MOT17-02-SDP': 1}
M2P-GLOBAL-OU-H270,151-300,9329,48,q_motion,0.6595912796753224,1.359795154423638,933,0,0.0,False,{}
M2P-GLOBAL-OU-H90,1-10,1037,53,nll_motion,0.9236079153244363,1879.46264651809,104,0,0.0,False,{}
M2P-GLOBAL-OU-H90,1-10,1037,53,q_motion,0.9170501610676484,3767.246152531087,104,0,0.0,False,{}
M2P-GLOBAL-OU-H90,11-30,1895,76,nll_motion,0.8870113711987501,71.05187957838089,190,0,0.0,False,{}
M2P-GLOBAL-OU-H90,11-30,1895,76,q_motion,0.8659037643586702,141.61397428523222,190,0,0.0,False,{}
M2P-GLOBAL-OU-H90,31-60,2549,63,nll_motion,0.8259970118377198,15.048774431451386,255,0,0.0,False,{}
M2P-GLOBAL-OU-H90,31-60,2549,63,q_motion,0.7985544445721436,25.98861717081794,255,0,0.0,False,{}
M2P-GLOBAL-OU-H90,61-150,6979,100,nll_motion,0.798235208605902,6.516425439136865,698,0,0.0,False,{}
M2P-GLOBAL-OU-H90,61-150,6979,100,q_motion,0.7562320104666376,6.107190397212526,698,0,0.0,False,{}
M2P-GLOBAL-OU-H90,151-300,9329,48,nll_motion,0.7356404661853967,5.918458561474795,933,0,0.0,False,{}
M2P-GLOBAL-OU-H90,151-300,9329,48,q_motion,0.6675780267930899,1.774568255489061,933,0,0.0,False,{}
M2P-GLOBAL-OU-H30,1-10,1037,53,nll_motion,0.924432428286547,1756.1738594088274,104,0,0.0,False,{}
M2P-GLOBAL-OU-H30,1-10,1037,53,q_motion,0.9178746740297592,3520.5637269432455,104,0,0.0,False,{}
M2P-GLOBAL-OU-H30,11-30,1895,76,nll_motion,0.887626226092995,73.13858055389801,190,0,0.0,False,{}
M2P-GLOBAL-OU-H30,11-30,1895,76,q_motion,0.867372182517867,144.1385594982963,190,0,0.0,False,{}
M2P-GLOBAL-OU-H30,31-60,2549,63,nll_motion,0.8281359741536732,16.706421596162354,255,0,0.0,False,{}
M2P-GLOBAL-OU-H30,31-60,2549,63,q_motion,0.8029728383710685,29.397372758962742,255,0,0.0,False,{}
M2P-GLOBAL-OU-H30,61-150,6979,100,nll_motion,0.817543247565053,7.1945563155993755,698,0,0.0,False,{}
M2P-GLOBAL-OU-H30,61-150,6979,100,q_motion,0.7649207733682222,8.082850994244525,698,0,0.0,False,{}
M2P-GLOBAL-OU-H30,151-300,9329,48,nll_motion,0.7680610925546816,5.845143346760684,933,0,0.0,False,{}
M2P-GLOBAL-OU-H30,151-300,9329,48,q_motion,0.6816861509176454,3.092918594173945,933,0,0.0,False,{}
