model_id,support_layer,gap_cell,n,gt,fp,e_motion_auc,q_motion_auc,bridge_dist_auc,speed_mismatch_auc,dir_cos_auc,resid_mean_auc
M1P-GLOBAL-CV,S_A,1-10,1037,53,984,0.9232627703635526,0.9169542874674029,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M1P-GLOBAL-CV,S_A,11-30∩11-26,1524,64,1460,0.8834332191780822,0.8709974315068493,0.9192958047945206,0.560627140410959,0.7074486301369863,0.9101241438356165
M1P-GLOBAL-CV,S_C2,1-10,1037,53,984,0.9232627703635526,0.9169542874674029,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M1P-GLOBAL-CV,S_C2,11-30,1895,76,1819,0.8864760857614074,0.8648548942449582,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M1P-GLOBAL-CV,S_C2,31-60,2549,63,2486,0.824394386341289,0.7956237469511805,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M1P-GLOBAL-CV,S_B,1-10∩2-10,951,51,900,0.9225925925925926,0.917037037037037,0.9620479302832244,0.5263398692810457,0.7322657952069717,0.9560348583877996
M1P-GLOBAL-CV,S_B,11-30,1895,76,1819,0.8864760857614074,0.8648548942449582,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M1P-GLOBAL-CV,S_B,31-60∩31-45,1312,43,1269,0.8506240035186101,0.8425971741162241,0.9018637638132937,0.6761412575366064,0.6902706764161489,0.8871295838143933
M1P-GLOBAL-CV,all_gap,1-10,1037,53,984,0.9232627703635526,0.9169542874674029,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M1P-GLOBAL-CV,all_gap,11-30,1895,76,1819,0.8864760857614074,0.8648548942449582,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M1P-GLOBAL-CV,all_gap,31-60,2549,63,2486,0.824394386341289,0.7956237469511805,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M1P-GLOBAL-CV,all_gap,61-150,6979,100,6879,0.7832621020497166,0.7496700101758976,0.8073804332025004,0.6358555022532345,0.654304404709987,0.7980433202500363
M1P-GLOBAL-CV,all_gap,151-300,9329,48,9281,0.7158509320116366,0.6544800308874762,0.7541662177207916,0.623641938727867,0.6553554753438925,0.7517351758072047
M2P-GLOBAL-OU-H270,S_A,1-10,1037,53,984,0.9232819450836017,0.9170118116275502,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H270,S_A,11-30∩11-26,1524,64,1460,0.8837114726027397,0.8714362157534247,0.9192958047945206,0.560627140410959,0.7074486301369863,0.9101241438356165
M2P-GLOBAL-OU-H270,S_C2,1-10,1037,53,984,0.9232819450836017,0.9170118116275502,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H270,S_C2,11-30,1895,76,1819,0.8866713926101675,0.8653684789213275,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H270,S_C2,31-60,2549,63,2486,0.825090347214241,0.7965751063096196,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H270,S_B,1-10∩2-10,951,51,900,0.9226143790849674,0.9170806100217865,0.9620479302832244,0.5263398692810457,0.7322657952069717,0.9560348583877996
