model_id,fold_id,held_out_sequence,n_gt_primary,qualifying_fold,pooled_primary_auc,a6_threshold_link,n_gt,dispersion_ratio,c50,c90,c95,calibration_class
M1P-GLOBAL-CV,LOO::MOT17-02-SDP,MOT17-02-SDP,6,False,0.9652173913043478,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.08509301532940622,1.0,1.0,1.0,over-dispersed
M1P-GLOBAL-CV,LOO::MOT17-04-SDP,MOT17-04-SDP,6,False,0.9769230769230769,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.09608640975454924,1.0,1.0,1.0,over-dispersed
M1P-GLOBAL-CV,LOO::MOT17-05-SDP,MOT17-05-SDP,30,True,0.881933438985737,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",30,0.9322658326923425,0.6333333333333333,0.8666666666666667,0.8666666666666667,approximately-calibrated
M1P-GLOBAL-CV,LOO::MOT17-09-SDP,MOT17-09-SDP,4,False,0.7040816326530612,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'EVALUATED', 'old_threshold': 3.379154246152772, 'new_threshold': 11.93742665818178, 'held_out_new_leakage': 0.0}]",4,7.8395525633938705,0.75,0.75,0.75,under-dispersed
M1P-GLOBAL-CV,LOO::MOT17-10-SDP,MOT17-10-SDP,50,True,0.8849319213313162,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",50,10.701314639297426,0.32,0.62,0.7,under-dispersed
M1P-GLOBAL-CV,LOO::MOT17-11-SDP,MOT17-11-SDP,7,False,0.9510433386837881,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",7,1.0547956159017655,0.5714285714285714,0.7142857142857143,0.8571428571428571,under-dispersed
M1P-GLOBAL-CV,LOO::MOT17-13-SDP,MOT17-13-SDP,14,False,0.9583911234396671,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'EVALUATED', 'old_threshold': 3.627833669507937, 'new_threshold': 13.280959858950867, 'held_out_new_leakage': 0.0}]",14,2.0919677102205747,0.35714285714285715,0.7142857142857143,0.7857142857142857,under-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-02-SDP,MOT17-02-SDP,6,False,0.9657004830917875,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.08539789992597646,1.0,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-04-SDP,MOT17-04-SDP,6,False,0.9769230769230769,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.09648241687792562,1.0,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-05-SDP,MOT17-05-SDP,30,True,0.8822503961965135,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",30,0.9266462458741143,0.6333333333333333,0.8666666666666667,0.8666666666666667,approximately-calibrated
M2P-GLOBAL-OU-H270,LOO::MOT17-09-SDP,MOT17-09-SDP,4,False,0.7040816326530612,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'EVALUATED', 'old_threshold': 3.379154246152772, 'new_threshold': 11.967207321148225, 'held_out_new_leakage': 0.0}]",4,7.737785981944022,0.75,0.75,0.75,under-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-10-SDP,MOT17-10-SDP,50,True,0.8851437216338881,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",50,10.62404228219458,0.32,0.62,0.7,under-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-11-SDP,MOT17-11-SDP,7,False,0.9502407704654896,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",7,1.055370683737375,0.5714285714285714,0.7142857142857143,0.8571428571428571,under-dispersed
M2P-GLOBAL-OU-H270,LOO::MOT17-13-SDP,MOT17-13-SDP,14,False,0.9586685159500693,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'EVALUATED', 'old_threshold': 3.627833669507937, 'new_threshold': 13.289824676462835, 'held_out_new_leakage': 0.0}]",14,2.0803628550307964,0.35714285714285715,0.7142857142857143,0.7857142857142857,under-dispersed
M2P-GLOBAL-OU-H90,LOO::MOT17-02-SDP,MOT17-02-SDP,6,False,0.9681159420289855,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.08610156509924066,1.0,1.0,1.0,over-dispersed
M2P-GLOBAL-OU-H90,LOO::MOT17-04-SDP,MOT17-04-SDP,6,False,0.9769230769230769,"[{'gap_bin': '1-10', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}, {'gap_bin': '11-26', 'terminal': 'BOTH_EMPTY', 'old_threshold': None, 'new_threshold': None, 'held_out_new_leakage': None}]",6,0.09727852339352762,1.0,1.0,1.0,over-dispersed
