model_id,fold_id,held_out_sequence,held_out_gt_total_nll,held_out_gt_n,mean_log_det_covariance,training_nll,selected_model_id,is_training_selection_winner,log_det_growth_by_gap,primary_calibration_classes
M1P-GLOBAL-CV,LOO::MOT17-02-SDP,MOT17-02-SDP,7.258484670721936,6,-1.4264452732368575,811.5233868130312,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 119, 'mean_log_det_covariance': -7.47823962624145, 'median_log_det_covariance': -7.1194113077567325}, {'gap_bin': '11-30', 'n': 285, 'mean_log_det_covariance': -1.653244173770298, 'median_log_det_covariance': -1.3790732065994415}, {'gap_bin': '31-60', 'n': 412, 'mean_log_det_covariance': 1.602870732205173, 'median_log_det_covariance': 1.669487001588145}, {'gap_bin': '61-150', 'n': 1197, 'mean_log_det_covariance': 4.873854236581067, 'median_log_det_covariance': 4.942728295643949}, {'gap_bin': '151-300', 'n': 1277, 'mean_log_det_covariance': 7.842830307516568, 'median_log_det_covariance': 7.81217405036611}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-04-SDP,MOT17-04-SDP,1.295877407337151,6,-3.435967816548738,1063.1438024633867,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 28, 'mean_log_det_covariance': -7.876082336711673, 'median_log_det_covariance': -6.77867367158059}, {'gap_bin': '11-30', 'n': 49, 'mean_log_det_covariance': -2.161576005150725, 'median_log_det_covariance': -2.1679556318270485}, {'gap_bin': '31-60', 'n': 61, 'mean_log_det_covariance': 1.335207659318051, 'median_log_det_covariance': 1.454878858347424}, {'gap_bin': '61-150', 'n': 198, 'mean_log_det_covariance': 4.645832890343775, 'median_log_det_covariance': 4.9103465967220465}, {'gap_bin': '151-300', 'n': 351, 'mean_log_det_covariance': 7.494040635538376, 'median_log_det_covariance': 7.53684056401784}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-05-SDP,MOT17-05-SDP,14.8299122233271,30,-4.551624983314903,1036.5082685058596,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 262, 'mean_log_det_covariance': -7.755348445588923, 'median_log_det_covariance': -6.771755845805906}, {'gap_bin': '11-30', 'n': 498, 'mean_log_det_covariance': -2.125622108370625, 'median_log_det_covariance': -2.1610378060523647}, {'gap_bin': '31-60', 'n': 657, 'mean_log_det_covariance': 1.237749882360894, 'median_log_det_covariance': 1.2878562363631527}, {'gap_bin': '61-150', 'n': 1566, 'mean_log_det_covariance': 4.468438590630399, 'median_log_det_covariance': 4.561097530418957}, {'gap_bin': '151-300', 'n': 2282, 'mean_log_det_covariance': 7.689968179352115, 'median_log_det_covariance': 7.7785887930996385}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-09-SDP,MOT17-09-SDP,27.4432511133789,4,-5.633233702916982,1028.740601016692,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 26, 'mean_log_det_covariance': -8.431303879315719, 'median_log_det_covariance': -8.564427455333401}, {'gap_bin': '11-30', 'n': 35, 'mean_log_det_covariance': -2.2511359760963665, 'median_log_det_covariance': -2.126675805597001}, {'gap_bin': '31-60', 'n': 55, 'mean_log_det_covariance': 0.9593580267039233, 'median_log_det_covariance': 0.841073573320509}, {'gap_bin': '61-150', 'n': 136, 'mean_log_det_covariance': 4.139135536249898, 'median_log_det_covariance': 4.084738447928125}, {'gap_bin': '151-300', 'n': 159, 'mean_log_det_covariance': 7.487118181389444, 'median_log_det_covariance': 7.590195170112647}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-10-SDP,MOT17-10-SDP,465.0307016535592,50,-6.477155345271168,427.01307171376,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 306, 'mean_log_det_covariance': -9.278847051752066, 'median_log_det_covariance': -8.945068656262706}, {'gap_bin': '11-30', 'n': 512, 'mean_log_det_covariance': -3.5413050815880647, 'median_log_det_covariance': -3.5024778005582435}, {'gap_bin': '31-60', 'n': 687, 'mean_log_det_covariance': -0.19070316153243333, 'median_log_det_covariance': -0.1561703469178272}, {'gap_bin': '61-150', 'n': 2016, 'mean_log_det_covariance': 3.0856511172687235, 'median_log_det_covariance': 3.2330210946309865}, {'gap_bin': '151-300', 'n': 2649, 'mean_log_det_covariance': 6.131392241265859, 'median_log_det_covariance': 6.191689879410342}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-11-SDP,MOT17-11-SDP,9.281188835805132,7,-3.133577125820755,1031.0409662196125,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 83, 'mean_log_det_covariance': -8.707233257837082, 'median_log_det_covariance': -8.399745253054267}, {'gap_bin': '11-30', 'n': 122, 'mean_log_det_covariance': -2.163001731273755, 'median_log_det_covariance': -1.9619936033178664}, {'gap_bin': '31-60', 'n': 153, 'mean_log_det_covariance': 1.2177955708951025, 'median_log_det_covariance': 1.2817272615474486}, {'gap_bin': '61-150', 'n': 428, 'mean_log_det_covariance': 4.556432122021556, 'median_log_det_covariance': 4.63264089903166}, {'gap_bin': '151-300', 'n': 645, 'mean_log_det_covariance': 7.6314345685389675, 'median_log_det_covariance': 7.737217299555315}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M1P-GLOBAL-CV,LOO::MOT17-13-SDP,MOT17-13-SDP,5.487915299631894,14,-7.075701653312427,1046.0548672151742,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 213, 'mean_log_det_covariance': -8.136388437602296, 'median_log_det_covariance': -6.921005044245694}, {'gap_bin': '11-30', 'n': 394, 'mean_log_det_covariance': -2.2106910029238334, 'median_log_det_covariance': -2.1051138269419507}, {'gap_bin': '31-60', 'n': 524, 'mean_log_det_covariance': 1.0918228581508451, 'median_log_det_covariance': 1.1386070379233644}, {'gap_bin': '61-150', 'n': 1438, 'mean_log_det_covariance': 4.413136315352704, 'median_log_det_covariance': 4.5657134552903536}, {'gap_bin': '151-300', 'n': 1966, 'mean_log_det_covariance': 7.391487604432828, 'median_log_det_covariance': 7.413070709578747}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M2P-GLOBAL-OU-H270,LOO::MOT17-02-SDP,MOT17-02-SDP,7.210831956593324,6,-1.442939280472869,800.6020338354314,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 119, 'mean_log_det_covariance': -7.467701312640652, 'median_log_det_covariance': -7.108115302926331}, {'gap_bin': '11-30', 'n': 285, 'mean_log_det_covariance': -1.6681686635132529, 'median_log_det_covariance': -1.3950088615001963}, {'gap_bin': '31-60', 'n': 412, 'mean_log_det_covariance': 1.5463519282177212, 'median_log_det_covariance': 1.6130524833583255}, {'gap_bin': '61-150', 'n': 1197, 'mean_log_det_covariance': 4.720564648697782, 'median_log_det_covariance': 4.791766454003611}, {'gap_bin': '151-300', 'n': 1277, 'mean_log_det_covariance': 7.512252434479064, 'median_log_det_covariance': 7.489920722709673}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M2P-GLOBAL-OU-H270,LOO::MOT17-04-SDP,MOT17-04-SDP,1.2785450005441215,6,-3.442537299726501,1047.0582822964975,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 28, 'mean_log_det_covariance': -7.865428135872669, 'median_log_det_covariance': -6.768510733382304}, {'gap_bin': '11-30', 'n': 49, 'mean_log_det_covariance': -2.1748496538860427, 'median_log_det_covariance': -2.1799231442473133}, {'gap_bin': '31-60', 'n': 61, 'mean_log_det_covariance': 1.276791279348143, 'median_log_det_covariance': 1.395662609982189}, {'gap_bin': '61-150', 'n': 198, 'mean_log_det_covariance': 4.486324166919976, 'median_log_det_covariance': 4.744428981967015}, {'gap_bin': '151-300', 'n': 351, 'mean_log_det_covariance': 7.160719417521167, 'median_log_det_covariance': 7.20578910651186}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
M2P-GLOBAL-OU-H270,LOO::MOT17-05-SDP,MOT17-05-SDP,14.67082302544642,30,-4.550991756203826,1020.6460212923524,M2P-GLOBAL-OU-H30,False,"[{'gap_bin': '1-10', 'n': 262, 'mean_log_det_covariance': -7.743842867511597, 'median_log_det_covariance': -6.76090487050262}, {'gap_bin': '11-30', 'n': 498, 'mean_log_det_covariance': -2.138739235470696, 'median_log_det_covariance': -2.172317281367629}, {'gap_bin': '31-60', 'n': 657, 'mean_log_det_covariance': 1.182219643316814, 'median_log_det_covariance': 1.2326841393578452}, {'gap_bin': '61-150', 'n': 1566, 'mean_log_det_covariance': 4.317117229097378, 'median_log_det_covariance': 4.41139811000313}, {'gap_bin': '151-300', 'n': 2282, 'mean_log_det_covariance': 7.341390117206984, 'median_log_det_covariance': 7.428001581488665}]","{'1-10': 'under-dispersed', '11-26': 'approximately-calibrated'}"
