cell_code,bits_atom0_first,n_gt_tracks,n_fp_rows
0,000000,0,2482
1,100000,0,57
2,010000,0,100
3,110000,0,8
4,001000,0,854
5,101000,0,141
6,011000,0,77
7,111000,0,47
8,000100,2,2032
9,100100,0,20
10,010100,2,157
11,110100,0,9
12,001100,2,450
13,101100,0,116
14,011100,2,125
15,111100,3,57
16,000010,0,155
17,100010,0,105
18,010010,0,22
19,110010,0,447
20,001010,0,25
21,101010,0,129
22,011010,0,7
23,111010,1,1437
24,000110,0,100
25,100110,0,48
26,010110,0,27
27,110110,4,282
28,001110,0,9
29,101110,2,62
30,011110,0,9
31,111110,42,1226
32,000001,0,874
33,100001,0,52
34,010001,0,77
35,110001,0,5
36,001001,1,525
37,101001,0,195
38,011001,0,106
39,111001,0,79
40,000101,3,1297
41,100101,1,22
42,010101,1,147
43,110101,0,11
44,001101,7,412
45,101101,1,119
46,011101,3,121
47,111101,1,84
48,000011,0,128
49,100011,0,49
50,010011,0,93
51,110011,2,744
52,001011,0,10
53,101011,0,73
54,011011,0,4
55,111011,3,1779
56,000111,0,241
57,100111,0,42
58,010111,1,189
59,110111,6,845
61,101111,0,46
62,011111,1,7
63,111111,168,2251
