seq,lost_id,track_key,z_score_m_bridge,z_bridge_dist,z_dist_h,z_log_h_ratio,z_resid_mean,z_dir_cos,z_speed_mismatch,z_gap,v_score_m_bridge,v_bridge_dist,v_dist_h,v_log_h_ratio,v_resid_mean,v_dir_cos,v_speed_mismatch,v_gap,d_h_k8
MOT17-02-SDP,4,MOT17-02-SDP|4,1,1,1,1,1,1,1,1,0.479172,0.338948,0.538971,0.0748122,0.38044,0.893659,0.0126247,33,0
MOT17-02-SDP,5,MOT17-02-SDP|5,1,1,1,1,1,1,1,0,0.881585,1.03303,0.297572,0.184147,1.77878,-0.513049,0.00915769,131,1
MOT17-02-SDP,5,MOT17-02-SDP|5,1,1,1,1,1,1,1,0,1.81584,2.53296,0.83386,0.300016,3.40658,-0.28809,0.00103874,213,1
MOT17-02-SDP,5,MOT17-02-SDP|5,1,1,1,1,1,1,1,0,2.03497,3.15796,1.22656,0.359771,3.38166,-0.236755,0.00581322,248,1
MOT17-02-SDP,6,MOT17-02-SDP|6,1,1,1,1,1,0,1,1,0.24363,0.0845411,0.118803,0.101374,0.690898,-0.828704,0.000326281,118,1
MOT17-02-SDP,8,MOT17-02-SDP|8,1,1,1,1,1,1,1,1,0.0743162,0.208695,0.0352518,0.000265616,0.216599,0.588436,0.000394159,45,0
MOT17-02-SDP,8,MOT17-02-SDP|8,1,1,1,1,1,1,1,0,0.643415,1.44245,0.294191,0.144355,1.85985,0.923737,0.00237256,273,1
MOT17-02-SDP,10,MOT17-02-SDP|10,1,1,1,1,1,1,1,1,0.0992158,0.0738796,0.0771039,0.0168588,0.185094,0.283649,0.00130431,39,0
MOT17-02-SDP,10,MOT17-02-SDP|10,1,1,1,1,1,1,1,0,0.933509,0.474691,0.863502,0.381322,1.17846,0.266869,0.00164301,237,1
MOT17-02-SDP,11,MOT17-02-SDP|11,1,1,1,1,1,0,1,0,0.143946,0.51621,0.0307169,0.051801,0.605724,-0.998749,0.00365867,209,2
MOT17-02-SDP,13,MOT17-02-SDP|13,1,1,1,1,1,1,1,0,0.525796,0.827274,0.320058,0.00441218,1.37931,0.390042,0.00530301,217,1
MOT17-02-SDP,14,MOT17-02-SDP|14,1,1,1,1,1,1,1,1,0.58688,0.715349,0.551795,0.114752,0.715675,-0.253202,9.12272e-05,56,0
MOT17-02-SDP,14,MOT17-02-SDP|14,1,1,1,1,1,1,1,1,0.596004,0.767859,0.457795,0.0568281,1.09369,-0.386498,0.0142028,87,0
MOT17-02-SDP,15,MOT17-02-SDP|15,1,1,1,1,1,1,1,1,0.0232204,0.070152,0.000754718,0.0549517,0.123434,0.778198,0.000789757,34,0
MOT17-02-SDP,15,MOT17-02-SDP|15,1,1,1,1,1,1,1,0,0.108414,0.171261,0.0330591,0.057549,0.444292,-0.440544,0.00156895,139,1
MOT17-02-SDP,15,MOT17-02-SDP|15,1,1,1,1,1,1,1,0,0.47706,0.423621,0.425037,0.390593,0.745556,0.949045,0.000753681,280,1
MOT17-02-SDP,16,MOT17-02-SDP|16,1,1,1,1,1,1,1,1,0.446078,0.117305,0.671706,0.0207478,0.118392,0.998498,0.00329446,34,0
MOT17-02-SDP,21,MOT17-02-SDP|21,1,1,1,1,1,0,1,1,0.838826,1.29365,0.214213,0.0614864,1.4133,-0.780135,0.0253656,62,1
MOT17-02-SDP,21,MOT17-02-SDP|21,1,1,1,1,1,0,1,1,1.86702,3.23697,0.204589,0.113415,3.35664,-0.947124,0.00713541,106,1
MOT17-02-SDP,23,MOT17-02-SDP|23,1,1,1,1,1,1,1,1,0.211689,0.110654,0.226216,0.0926332,0.122168,0.787639,0.00279531,34,0
MOT17-02-SDP,23,MOT17-02-SDP|23,1,1,1,1,1,1,1,1,0.642582,0.341539,0.671227,0.325369,0.452454,0.777997,0.00505748,118,0
MOT17-02-SDP,26,MOT17-02-SDP|26,1,1,1,1,1,1,1,0,1.16331,0.270477,1.01079,0.201837,1.59513,0.851812,0.00536343,299,1
MOT17-02-SDP,31,MOT17-02-SDP|31,1,1,1,1,1,1,0,1,2.70471,2.9058,1.88208,0.0576455,2.90588,0.305776,0.0504873,72,1
MOT17-02-SDP,31,MOT17-02-SDP|31,0,0,0,1,0,1,0,0,9.16041,8.89316,4.19791,0.0592901,10.1961,0.363944,0.0755362,228,6
MOT17-02-SDP,33,MOT17-02-SDP|33,1,1,1,1,1,1,1,1,0.321841,0.118503,0.343345,0.167831,0.192815,0.996079,0.00419081,64,0
MOT17-02-SDP,35,MOT17-02-SDP|35,1,1,1,1,1,1,1,1,1.27204,0.145954,1.39207,0.364402,0.952772,0.719199,0.0169988,88,0
MOT17-02-SDP,36,MOT17-02-SDP|36,1,1,1,1,1,0,1,1,0.309322,0.266954,0.128799,0.0573208,0.756029,-0.725532,0.00237397,88,1
MOT17-02-SDP,37,MOT17-02-SDP|37,1,1,1,1,1,1,0,0,2.7376,3.50956,0.079891,0.0174402,4.88386,0.547186,0.0276587,215,2
MOT17-02-SDP,38,MOT17-02-SDP|38,1,1,1,1,1,1,1,0,0.794243,0.302786,0.75834,0.348027,0.916414,0.472681,0.00181946,192,1
