clause_id,n_folds_selected,selection_frequency,worst_holdout_gt_hurt,n_folds_holdout_gt_zero,n_folds_holdout_productive,sum_holdout_n_neg,nested_loso_portability_ok
S::resid_mean::high_tail::t0.564674735069,6,0.8571428571428571,0,6,0,0,0
AND::abs_ratio_m1::low_tail::t0.371002078056::resid_mean::high_tail::t0.564674735069,6,0.8571428571428571,0,6,0,0,0
AND::score_m_bridge::high_tail::t0.03481099382::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::score_m_bridge::low_tail::t0.39499360323::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::abs_log_h::high_tail::t0.000758876209::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::abs_log_h::low_tail::t0.448460966349::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::dist_h::low_tail::t0.473614424467::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::abs_ratio_m1::high_tail::t0.000758588314::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::dist_h::high_tail::t0.005157791544::resid_mean::high_tail::t0.564674735069,5,0.7142857142857143,0,5,0,0,0
AND::score_m_bridge::high_tail::t0.157571278512::resid_mean::high_tail::t0.564674735069,4,0.5714285714285714,0,4,0,0,0
AND::score_m_bridge::high_tail::t0.138738501072::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::low_tail::t0.08112179637::abs_log_h::low_tail::t0.005895621656,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::low_tail::t0.063411528431::dist_h::high_tail::t0.052736393735,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::low_tail::t0.08112179637::abs_ratio_m1::low_tail::t0.005878266692,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.063411528431::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.073820904642::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.08112179637::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.167546021938::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.233206450939::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.261727982759::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::abs_log_h::high_tail::t0.005895621656::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::dist_h::high_tail::t0.031087464001::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::dist_h::high_tail::t0.052736393735::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::dist_h::high_tail::t0.214476028085::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
AND::dist_h::low_tail::t0.410284969211::resid_mean::high_tail::t0.564674735069,2,0.2857142857142857,0,2,0,0,0
