region_id,kind,feature_a,direction_a,mask_sha256,n_coordinates,plateau_width_thr_index,has_interior_coordinate,n_adjacent_other_masks,support,n_neg_captured,gt_hurt,n_unresolved_selected,safety_status,n_sequences_with_neg,max_neg_sequence_share,nested_loso_portability_ok,nested_loso_clause_id,stability_class,is_region_candidate,not_a_safe_rule,topology_note
mask::resid_mean::high_tail::63a907235d62,single_atom_quotient,resid_mean,high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,1,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,S::resid_mean::high_tail::t0.564674735069,isolated_safe_point,0,1,quotient_by_mask_within_feature_direction_grid
mask::AND::abs_log_h::high_tail::abs_ratio_m1::low_tail::c4d4ff1a0edd,pairwise_AND_quotient,abs_log_h,high_tail,c4d4ff1a0edd8678d8bfaea8d07f32a79534e2be6837221359a8adf840a97f2c,1,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,isolated_safe_point,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::low_tail::abs_ratio_m1::high_tail::40e749384e73,pairwise_AND_quotient,abs_log_h,low_tail,40e749384e73d603c41c1370fc839844583ac0308271ffadd3bea47eee46a3a4,1,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,isolated_safe_point,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::low_tail::abs_ratio_m1::high_tail::ced0b7c1a714,pairwise_AND_quotient,abs_log_h,low_tail,ced0b7c1a71496983d0a09dbd31b8d5010814d5c22198b9a4deb1ffd54315bdd,2,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,edge_candidate,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::low_tail::dist_h::low_tail::51105b444ba3,pairwise_AND_quotient,abs_log_h,low_tail,51105b444ba35b40a7852f1900de5682e811aa68e11b7e07243d709c170ef838,1,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,isolated_safe_point,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::low_tail::dist_h::high_tail::aa1be21430bf,pairwise_AND_quotient,abs_log_h,low_tail,aa1be21430bf72a6336ce88db78c8708b56136ed6939d3e077fa7bfd6ab70e12,1,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,isolated_safe_point,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::high_tail::resid_mean::high_tail::63a907235d62,pairwise_AND_quotient,abs_log_h,high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,18,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,edge_candidate,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::high_tail::resid_mean::low_tail::2dc4b8690f52,pairwise_AND_quotient,abs_log_h,high_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,5,,0,1,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,edge_candidate,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::high_tail::resid_mean::low_tail::b923775d4f4f,pairwise_AND_quotient,abs_log_h,high_tail,b923775d4f4ffaef6a373317b715ecd7caa7c8b119c8d666e18eb9c350e15019,1,,0,1,2,2,0,0,resolved_sample_zero_gt,2,0.5,0,,edge_candidate,0,1,quotient_by_mask_within_pairwise_grid
mask::AND::abs_log_h::low_tail::resid_mean::high_tail::63a907235d62,pairwise_AND_quotient,abs_log_h,low_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,3,,0,0,1,1,0,0,resolved_sample_zero_gt,1,1.0,0,,edge_candidate,0,1,quotient_by_mask_within_pairwise_grid
