component_id,grammar,grid_id,n_coords,n_unique_masks_in_component,axis_span_a,axis_span_b,bounding_box_a,bounding_box_b,active_axis_count,shape_class,is_single_cell_width_strip,is_genuine_2d_thick,max_full_neighborhood_safe_radius,coords_json
S::resid_mean::high_tail::comp0,G1_atom,S::resid_mean::high_tail,1,1,1,0,1,1,0,isolated_point,False,False,0,[86]
P::abs_log_h::high_tail__abs_ratio_m1::low_tail::comp0,G2_and,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[5, 5]]"
P::abs_log_h::high_tail__resid_mean::high_tail::comp0,G2_and,P::abs_log_h::high_tail__resid_mean::high_tail,18,1,18,1,18,1,1,row_strip,True,False,0,"[[0, 20], [1, 20], [2, 20], [3, 20], [4, 20], [5, 20], [6, 20], [7, 20], [8, 20], [9, 20], [10, 20], [11, 20], [12, 20], [13, 20], [14, 20], [15, 20], [16, 20], [17, 20]]"
P::abs_log_h::high_tail__resid_mean::low_tail::comp0,G2_and,P::abs_log_h::high_tail__resid_mean::low_tail,6,2,2,4,2,4,2,2d_region,False,False,0,"[[17, 2], [17, 3], [18, 2], [18, 3], [18, 4], [18, 5]]"
P::abs_log_h::high_tail__score_m_bridge::low_tail::comp0,G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,12,4,2,7,2,7,2,2d_region,False,False,0,"[[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [19, 4], [19, 5], [19, 6], [19, 7], [19, 8], [19, 9], [19, 10]]"
P::abs_log_h::low_tail__abs_ratio_m1::high_tail::comp0,G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,2,1,2,1,2,1,1,row_strip,True,False,0,"[[16, 17], [17, 17]]"
P::abs_log_h::low_tail__abs_ratio_m1::high_tail::comp1,G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[12, 12]]"
P::abs_log_h::low_tail__dist_h::high_tail::comp0,G2_and,P::abs_log_h::low_tail__dist_h::high_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[5, 18]]"
P::abs_log_h::low_tail__dist_h::low_tail::comp0,G2_and,P::abs_log_h::low_tail__dist_h::low_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[1, 5]]"
P::abs_log_h::low_tail__resid_mean::high_tail::comp0,G2_and,P::abs_log_h::low_tail__resid_mean::high_tail,3,1,3,1,3,1,1,row_strip,True,False,0,"[[18, 20], [19, 20], [20, 20]]"
P::abs_log_h::low_tail__score_m_bridge::low_tail::comp0,G2_and,P::abs_log_h::low_tail__score_m_bridge::low_tail,2,1,2,1,2,1,1,row_strip,True,False,0,"[[1, 3], [2, 3]]"
P::abs_ratio_m1::high_tail__resid_mean::high_tail::comp0,G2_and,P::abs_ratio_m1::high_tail__resid_mean::high_tail,18,1,18,1,18,1,1,row_strip,True,False,0,"[[0, 20], [1, 20], [2, 20], [3, 20], [4, 20], [5, 20], [6, 20], [7, 20], [8, 20], [9, 20], [10, 20], [11, 20], [12, 20], [13, 20], [14, 20], [15, 20], [16, 20], [17, 20]]"
P::abs_ratio_m1::high_tail__resid_mean::low_tail::comp0,G2_and,P::abs_ratio_m1::high_tail__resid_mean::low_tail,6,2,2,4,2,4,2,2d_region,False,False,0,"[[17, 2], [17, 3], [18, 2], [18, 3], [18, 4], [18, 5]]"
P::abs_ratio_m1::high_tail__score_m_bridge::low_tail::comp0,G2_and,P::abs_ratio_m1::high_tail__score_m_bridge::low_tail,10,4,2,5,2,5,2,2d_region,False,False,0,"[[18, 4], [18, 5], [18, 6], [18, 7], [18, 8], [19, 4], [19, 5], [19, 6], [19, 7], [19, 8]]"
P::abs_ratio_m1::low_tail__dist_h::high_tail::comp0,G2_and,P::abs_ratio_m1::low_tail__dist_h::high_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[5, 18]]"
P::abs_ratio_m1::low_tail__dist_h::low_tail::comp0,G2_and,P::abs_ratio_m1::low_tail__dist_h::low_tail,1,1,1,1,1,1,0,isolated_point,False,False,0,"[[1, 5]]"
P::abs_ratio_m1::low_tail__resid_mean::high_tail::comp0,G2_and,P::abs_ratio_m1::low_tail__resid_mean::high_tail,3,1,3,1,3,1,1,row_strip,True,False,0,"[[18, 20], [19, 20], [20, 20]]"
P::abs_ratio_m1::low_tail__score_m_bridge::low_tail::comp0,G2_and,P::abs_ratio_m1::low_tail__score_m_bridge::low_tail,2,1,2,1,2,1,1,row_strip,True,False,0,"[[1, 3], [2, 3]]"
P::dist_h::high_tail__resid_mean::high_tail::comp0,G2_and,P::dist_h::high_tail__resid_mean::high_tail,17,1,17,1,17,1,1,row_strip,True,False,0,"[[0, 20], [1, 20], [2, 20], [3, 20], [4, 20], [5, 20], [6, 20], [7, 20], [8, 20], [9, 20], [10, 20], [11, 20], [12, 20], [13, 20], [14, 20], [15, 20], [16, 20]]"
P::dist_h::high_tail__resid_mean::low_tail::comp0,G2_and,P::dist_h::high_tail__resid_mean::low_tail,2,1,2,1,2,1,1,row_strip,True,False,0,"[[11, 3], [12, 3]]"
P::dist_h::low_tail__resid_mean::high_tail::comp0,G2_and,P::dist_h::low_tail__resid_mean::high_tail,4,1,4,1,4,1,1,row_strip,True,False,0,"[[17, 20], [18, 20], [19, 20], [20, 20]]"
P::resid_mean::high_tail__score_m_bridge::high_tail::comp0,G2_and,P::resid_mean::high_tail__score_m_bridge::high_tail,19,1,1,19,1,19,1,column_strip,True,False,0,"[[20, 0], [20, 1], [20, 2], [20, 3], [20, 4], [20, 5], [20, 6], [20, 7], [20, 8], [20, 9], [20, 10], [20, 11], [20, 12], [20, 13], [20, 14], [20, 15], [20, 16], [20, 17], [20, 18]]"
P::resid_mean::high_tail__score_m_bridge::low_tail::comp0,G2_and,P::resid_mean::high_tail__score_m_bridge::low_tail,5,1,2,4,2,4,2,2d_region,False,False,0,"[[18, 14], [19, 14], [19, 15], [19, 16], [19, 17]]"
P::resid_mean::high_tail__score_m_bridge::low_tail::comp1,G2_and,P::resid_mean::high_tail__score_m_bridge::low_tail,12,1,6,2,6,2,2,2d_region,False,False,0,"[[5, 1], [5, 2], [6, 1], [6, 2], [7, 1], [7, 2], [8, 1], [8, 2], [9, 1], [9, 2], [10, 1], [10, 2]]"
