grammar,cell_id,grid_id,mask_sha256,n_neg_captured,n_gt_captured,neg_capture_rate,n_sequences_with_neg,max_neg_sequence_share,single_seq_neg_dominance,min_positive_sequence,min_positive_sequence_n_neg,productive_sequences_json
G1_atom,S::resid_mean::high_tail::u86,S::resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q5::P::abs_ratio_m1::low_tail::q5,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,c4d4ff1a0edd8678d8bfaea8d07f32a79534e2be6837221359a8adf840a97f2c,1,0,0.043478260869565216,1,1.0,1,MOT17-13-SDP,1,"{""MOT17-13-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q12::P::abs_ratio_m1::high_tail::q12,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,40e749384e73d603c41c1370fc839844583ac0308271ffadd3bea47eee46a3a4,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q16::P::abs_ratio_m1::high_tail::q17,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,ced0b7c1a71496983d0a09dbd31b8d5010814d5c22198b9a4deb1ffd54315bdd,1,0,0.043478260869565216,1,1.0,1,MOT17-09-SDP,1,"{""MOT17-09-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q17::P::abs_ratio_m1::high_tail::q17,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,ced0b7c1a71496983d0a09dbd31b8d5010814d5c22198b9a4deb1ffd54315bdd,1,0,0.043478260869565216,1,1.0,1,MOT17-09-SDP,1,"{""MOT17-09-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q1::P::dist_h::low_tail::q5,P::abs_log_h::low_tail__dist_h::low_tail,51105b444ba35b40a7852f1900de5682e811aa68e11b7e07243d709c170ef838,1,0,0.043478260869565216,1,1.0,1,MOT17-05-SDP,1,"{""MOT17-05-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q5::P::dist_h::high_tail::q18,P::abs_log_h::low_tail__dist_h::high_tail,aa1be21430bf72a6336ce88db78c8708b56136ed6939d3e077fa7bfd6ab70e12,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q0::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q1::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q2::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
