grammar,grid_id,scope,n_unique_masks_all,n_unique_masks_observed_safe,n_unique_masks_productive_safe,unique_mask_safe_ratio,unique_mask_productive_ratio,n_coords_productive_safe,n_grids,n_unique_masks_all_sum,n_unique_masks_observed_safe_sum,n_unique_masks_productive_safe_sum,unique_mask_safe_ratio_micro,unique_mask_productive_ratio_micro,note
G1_atom,S::abs_log_h::high_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::abs_log_h::low_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::abs_ratio_m1::high_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::abs_ratio_m1::low_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::dist_h::high_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::dist_h::low_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::resid_mean::high_tail,per_registered_grid,87.0,1.0,1.0,0.011494252873563218,0.011494252873563218,1.0,,,,,,,
G1_atom,S::resid_mean::low_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::score_m_bridge::high_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G1_atom,S::score_m_bridge::low_tail,per_registered_grid,87.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::high_tail__abs_ratio_m1::high_tail,per_registered_grid,39.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,per_registered_grid,221.0,1.0,1.0,0.004524886877828055,0.004524886877828055,1.0,,,,,,,
G2_and,P::abs_log_h::high_tail__dist_h::high_tail,per_registered_grid,293.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::high_tail__dist_h::low_tail,per_registered_grid,303.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::high_tail__resid_mean::high_tail,per_registered_grid,283.0,1.0,1.0,0.0035335689045936395,0.0035335689045936395,18.0,,,,,,,
G2_and,P::abs_log_h::high_tail__resid_mean::low_tail,per_registered_grid,283.0,2.0,2.0,0.007067137809187279,0.007067137809187279,6.0,,,,,,,
G2_and,P::abs_log_h::high_tail__score_m_bridge::high_tail,per_registered_grid,296.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,per_registered_grid,305.0,4.0,4.0,0.013114754098360656,0.013114754098360656,12.0,,,,,,,
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,per_registered_grid,220.0,2.0,2.0,0.00909090909090909,0.00909090909090909,3.0,,,,,,,
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::low_tail,per_registered_grid,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::low_tail__dist_h::high_tail,per_registered_grid,309.0,1.0,1.0,0.003236245954692557,0.003236245954692557,1.0,,,,,,,
G2_and,P::abs_log_h::low_tail__dist_h::low_tail,per_registered_grid,281.0,1.0,1.0,0.0035587188612099642,0.0035587188612099642,1.0,,,,,,,
G2_and,P::abs_log_h::low_tail__resid_mean::high_tail,per_registered_grid,285.0,1.0,1.0,0.0035087719298245615,0.0035087719298245615,3.0,,,,,,,
G2_and,P::abs_log_h::low_tail__resid_mean::low_tail,per_registered_grid,286.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::low_tail__score_m_bridge::high_tail,per_registered_grid,302.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_log_h::low_tail__score_m_bridge::low_tail,per_registered_grid,290.0,1.0,1.0,0.0034482758620689655,0.0034482758620689655,2.0,,,,,,,
G2_and,P::abs_ratio_m1::high_tail__dist_h::high_tail,per_registered_grid,295.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_ratio_m1::high_tail__dist_h::low_tail,per_registered_grid,301.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G2_and,P::abs_ratio_m1::high_tail__resid_mean::high_tail,per_registered_grid,290.0,1.0,1.0,0.0034482758620689655,0.0034482758620689655,18.0,,,,,,,
G2_and,P::abs_ratio_m1::high_tail__resid_mean::low_tail,per_registered_grid,282.0,2.0,2.0,0.0070921985815602835,0.0070921985815602835,6.0,,,,,,,
G2_and,P::abs_ratio_m1::high_tail__score_m_bridge::high_tail,per_registered_grid,300.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
