experiment,checkpoint,exists,sha256,seed,epoch,best_loss,clip_len,clip_stride,scan_stop_grad,add_temporal,head_parameters
legacy_v14,runs/mamba_gt_vgt_mamba_v14/best.ckpt,True,7d424c82729a8a1e130dbb4f1340806ddc85b85870e554857846e535a1d32575,,58,2.805741943998965,4,,,False,10126636
replica_20260612,runs/mamba_gt_v14replica_final/best.ckpt,True,c1acd2bb50642a3f4816e517b4165781defc30df6ea97c42bbc23db1d51eb989,20260612,29,2.547592079568052,4,8,True,False,10126636
replica_20260613,runs/mamba_gt_v14replica_s13_final/best.ckpt,True,8295101e71f3357ce21575650030938dc3d63b2b5f3f398a5fb816e5b4360a90,20260613,29,2.5616829252528572,4,8,True,False,10126636
replica_20260614,runs/mamba_gt_v14replica_s14_final/best.ckpt,True,1b2704ad8fcd0b727f826090874b0df9572a5edbc4ee235e2714ace5d51f77ee,20260614,30,2.560716765369484,4,8,True,False,10126636
t3t1_seed42,runs/mamba_gt_v14replica_t3_t1/best.ckpt,True,c161c88e50b894d8b51cc614c46c3700370373decf05a15825bdf00ccf0e0876,42,15,2.8631015833159137,1,2,True,False,11368540
t3t1_20260613,runs/mamba_gt_v14replica_t3_t1_s13/best.ckpt,True,32476cb099c993e2d218e1def7056a265851e66754d9e8a699a14338503da224,20260613,15,2.8512346120705283,1,2,True,False,11368540
t3t1_20260614,runs/mamba_gt_v14replica_t3_t1_s14/best.ckpt,True,0af6582e613d8c45c1af2d83daa835b63663ef11b43f06c6242906bc0f803bf4,20260614,15,2.850650581919161,1,2,True,False,11368540
ssm_unfreeze_ft,runs/mamba_gt_v14replica_ssmft_n16/best.ckpt,True,97b988d42d27598ebc9096797f539c5012d357374292ee5a9c538812af41563c,20260612,29,2.1492778262692296,4,8,False,False,10126636
phase_a_t1_eval,runs/mamba_gt_v14replica_t3/best_flowgate0.ckpt,True,544ecf47aa40efcefeff9187250120cd4f8bf3b908c3456850af61ea9e3fbf48,42,15,4.201072901218861,3,6,True,True,11368540
phase_a_t3_streaming,runs/mamba_gt_v14replica_t3/best_flowgate0.ckpt,True,544ecf47aa40efcefeff9187250120cd4f8bf3b908c3456850af61ea9e3fbf48,42,15,4.201072901218861,3,6,True,True,11368540
t3t1_then_ssmft,runs/mamba_gt_v14replica_t3t1_ssmft/best.ckpt,True,8bfc380980faa90c7052bb18e85dc1f85cc27edc323168d1cd3077a1b1002e93,42,30,1.9449573532979292,1,2,False,False,11368540
ssmft_then_t3t1,runs/mamba_gt_v14replica_ssmft_t3_t1/best.ckpt,True,3700c74052ba8d1cbc7e9a74d6e6f0583324a52c9a0ea020064c9ea078b82921,42,15,2.4560307633607907,1,2,True,False,11368540
soup_alpha_025,runs/mamba_soup_ssmft_t3t1_a25.ckpt,True,dbf17e0a3e5ef9c8440e378f79e9b056081a5bd817185b82a0e40ee1bb302009,20260612,29,2.1492778262692296,4,8,False,False,10126636
soup_alpha_050,runs/mamba_soup_ssmft_t3t1_a50.ckpt,True,7e7c9606fc230d5c6a78d09978b33cd50e3e5161e63bd9cde30c31a7dcc4841d,20260612,29,2.1492778262692296,4,8,False,False,10126636
soup_alpha_075,runs/mamba_soup_ssmft_t3t1_a75.ckpt,True,4d747ae0d913e763b64a2378ab323bad79a1ccf2d6a4c8d70d0969a5e9bad563,20260612,29,2.1492778262692296,4,8,False,False,10126636
