pair,paired,sequence,plain_IDF1,t3t1_IDF1,delta_IDF1,plain_MOTA,t3t1_MOTA,delta_MOTA,delta_IDs,delta_FP,delta_FN
unpaired_original,False,MOT17-02-SDP,53.446,56.708,3.262,55.465,57.871,2.406,-19,-256,-172
unpaired_original,False,MOT17-04-SDP,87.245,87.880,0.635,91.288,90.723,-0.566,-4,-2,275
unpaired_original,False,MOT17-05-SDP,67.629,71.032,3.402,66.763,66.315,-0.448,-6,-41,78
unpaired_original,False,MOT17-09-SDP,66.953,63.282,-3.670,75.343,70.892,-4.451,1,120,116
unpaired_original,False,MOT17-10-SDP,56.618,63.383,6.765,69.156,70.675,1.519,-9,-270,84
unpaired_original,False,MOT17-11-SDP,74.413,76.983,2.570,81.836,81.857,0.021,-5,-107,110
unpaired_original,False,MOT17-13-SDP,67.151,69.369,2.218,67.059,69.567,2.508,-67,-274,49
seed_20260613,True,MOT17-02-SDP,48.507,50.886,2.379,54.507,55.578,1.071,-10,-143,-46
seed_20260613,True,MOT17-04-SDP,88.464,89.017,0.553,90.502,90.592,0.090,-7,-14,-22
seed_20260613,True,MOT17-05-SDP,67.170,69.933,2.763,64.956,65.867,0.911,1,-33,-31
seed_20260613,True,MOT17-09-SDP,59.580,59.207,-0.373,74.141,75.099,0.958,4,26,-81
seed_20260613,True,MOT17-10-SDP,59.654,63.889,4.235,68.043,70.590,2.547,-26,-384,83
seed_20260613,True,MOT17-11-SDP,75.218,78.110,2.891,81.846,82.779,0.933,-12,-91,15
seed_20260613,True,MOT17-13-SDP,66.828,73.711,6.883,64.671,71.440,6.769,-44,-725,-19
seed_20260614,True,MOT17-02-SDP,50.646,53.096,2.450,54.965,55.578,0.614,1,44,-159
seed_20260614,True,MOT17-04-SDP,85.582,84.780,-0.802,90.224,90.277,0.053,1,-2,-24
seed_20260614,True,MOT17-05-SDP,68.049,70.653,2.604,62.252,68.556,6.303,-37,-378,-21
seed_20260614,True,MOT17-09-SDP,60.727,61.609,0.882,74.009,73.484,-0.526,0,-31,59
seed_20260614,True,MOT17-10-SDP,62.263,63.509,1.246,70.060,71.719,1.659,-3,-323,113
seed_20260614,True,MOT17-11-SDP,80.315,74.981,-5.334,81.814,82.832,1.017,-6,-124,34
seed_20260614,True,MOT17-13-SDP,65.720,70.474,4.754,67.188,69.799,2.611,-44,-148,-112
